decision_or_process,public_stewardship_office,professional_review_pool,research_evaluation_network,capability_maintainer,community_affected_groups,independent_public_observers,notes
Rule-setting,A,R/C,C,C,C,C,"Public institution retains final responsibility; consultation does not transfer accountability."
Risk classification and authorization,A,R,C,C,C,C,"Higher-impact authorization cannot be self-approved by a vendor/model provider."
Problem baseline and public-value objective,A,R/C,R/C,C,R/C,C,"Challenge must begin from evidenced need, not from desire to deploy AI."
Non-AI alternative assessment,A,R,C,R,C,C,C,"A superior non-AI option may justify STOP before technical trial."
Data-governance minimums,A,R/C,C,R,C,C,"Only public/cleared data; purpose limitation and minimum necessary access."
Trial design and safeguards,A,R,R/C,R,R/C,C,"Affected groups participate more deeply as impact/risk increases."
Technical build and maintenance,C,C,C,A/R,C,C,"Maintainer owns technical delivery but not public authorization."
Public notice and capability record,A,C,C,R,C,R/C,"Capability Registry is the durable public record."
Complaint and objection intake,A,C,C,C,R,C,"Objection must reach a human-governed process."
Appeal of material public outcome,A,R/C,C,C,R/C,C,"Exact legal appeal route remains Unknown until mapped to competent authority."
Vulnerable-group/distributional review,A,R,C,C,R,R/C,"Do not rely on averages; examine groups exposed to disproportionate harm."
Incident containment and service continuity,A,R/C,C,R,C,C,"Immediate safety/manual continuity may precede full review."
Incident root-cause investigation,A,R,R/C,R,C,R/C,"Preserve dissent and uncertainty in the record."
Public-value evaluation,A,R,R,R/C,R/C,C,"Scenario metrics sit above common safety/fairness/privacy/environment/cost floors."
STOP decision,A,R/C,C,C,R/C,C,"Responsible STOP is a valid learning outcome."
MODIFY decision,A,R,C,R,R/C,C,"Material risk change requires reauthorization."
CONTINUE bounded trial,A,R,R/C,R,R/C,C,"Publish remaining Unknowns."
SCALE decision,A,R,R/C,R,R/C,C,"Requires durable owner/maintenance/exit plan and distributional evidence."
Procurement and lifecycle funding,A,R/C,C,C,C,C,"Separate pilot budget from lifecycle maintenance; require exitability."
Capability Registry stewardship,A,C,C,R,C,R/C,"Registry includes provenance, risk, maintenance, compatibility, evidence and status."
City Version Release,A,R/C,R/C,C,R/C,R/C,"Release includes failures, retirements, incidents and unresolved problems."
Retirement authorization,A,R/C,C,R,R/C,C,"Sunset conditions should be defined at admission."
Data and credential cleanup on retirement,A,C,C,R,C,C,"Retention/deletion specifics follow applicable rules; do not invent periods."
Physical asset removal or repurposing,A,R/C,C,R,C,C,"Account for accessibility, safety, waste and continuity of public service."
Retired Capability Archive,A,R/C,R/C,C,R/C,R/C,"Archive preserves learning, not operational secrets or unnecessary personal data."
Annual Learning Assembly,A,R/C,R/C,C,R,C,"Accountability and version release are primary; not a product expo."
Long-term interoperability and migration,A,R/C,R/C,R,C,C,"Technology-neutral interfaces and periodic migration tests resist lock-in."
