source_id,topic,publisher,title,source_url,retrieved_at,published_at,license,reuse_status,formal_use_status,spatial_coverage,temporal_coverage,crs,format,confidence_class,cross_check_source_ids,limitations,transformation_script,notes
SRC-REG-OFFICIAL-ANNOUNCEMENT,project_scope,北京市规划和自然资源委员会海淀分局,百年京张AI创新带城市设计国际方案征集资格预审公告,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/tzgg/hd/202605/t20260509_4643047.html,2026-08-08,2026-05-09,official public page,reference_and_citation,yes,project scopes and task areas,2026,,html,Official,SRC-REG-PROVISIONAL-BOUNDARY,"Supports text extents and official area values; not exact polygon/redline",,Registry-approved formal source
SRC-REG-TASKBOOK,competition_taskbook,User-provided cleared document,面向全球智能体开展百年京张AI创新带城市设计开源征集任务书摘录,brief/site-package/agent_taskbook.json,2026-08-08,2026-05-18,cleared for repository,repository_use,yes,three areas and two wings / task requirements,2026,,json,Official,SRC-REG-OFFICIAL-ANNOUNCEMENT,"Not statutory geometry/control",,Registry-approved cleared source
SRC-REG-PROVISIONAL-BOUNDARY,geometry,Repository maintainers,百年京张AI创新带临时粗略边界与三处重点区 polygon,brief/site-package/geometry/provisional_boundaries.geojson,2026-08-08,2026-06-05,repository provisional,temporary_visualization_only,provisional_only,three scope levels and three key areas,2026,EPSG:4326,geojson,Derived,SRC-REG-OFFICIAL-ANNOUNCEMENT,"Not official redline; not precise area/scoring/approval basis",,Must retain official_boundary=false and geometry_role=provisional_constraint
SRC-BJ-KW-THREE-WINGS-20260403,industrial_context,北京市科学技术委员会、中关村科技园区管理委员会,“三区两翼”打造世界级AI集聚地,https://kw.beijing.gov.cn/xwdt/kcyx/xwdtcyfz/202604/t20260403_4573808.html,2026-08-08,2026-04-03,official public page,reference_and_citation,background_only,three areas two wings / 9km belt,2026,,html,Verified,SRC-REG-TASKBOOK,"Press-style industrial narrative; 37 km2 is not the competition's official design-area polygon",,Use for role/context only
SRC-BJ-CITYUPDATE-ZZY-20260713,existing_condition,北京市城市更新服务平台,众智园AI自主创新加速区更新片区综合化城市更新组团市级重点项目谋划,https://www.beijing.gov.cn/fuwu/lqfw/ztzl/bjchshgx/xmgsh/202607/t20260714_4762585.html,2026-08-08,2026-07-13,official public page,reference_and_citation,needs_registry_review,学院路/清河/东升镇 update area,2026,,html,Verified,SRC-BJ-KW-THREE-WINGS-20260403,"Update project extent is not identical to competition key-area polygon; project publicity period ended",,Strong current physical/program context
SRC-BJ-CITYUPDATE-DZS-20260713,existing_condition,北京市城市更新服务平台,百年京张AI创新带-南部大钟寺AI产业集聚区更新片区,https://www.beijing.gov.cn/fuwu/lqfw/ztzl/bjchshgx/xmgsh/202607/t20260714_4762615.html,2026-08-08,2026-07-13,official public page,reference_and_citation,needs_registry_review,北下关/北太平庄/中关村 update area,2026,,html,Verified,SRC-BJ-KW-THREE-WINGS-20260403,"Update project extent is not identical to competition 72 ha key-area polygon; does not provide parcel-level rights or controls",,Strong current update evidence
SRC-BJ-AIORIGIN-20260105,innovation_ecosystem,海淀区政府信息公开,AI原点社区入选北京首批AI创新街区,https://zyk.bjhd.gov.cn/jbdt/auto4510_51816/auto4510_54705/auto4510/auto4510/202601/t20260105_4799909.shtml,2026-08-08,2026-01-05,official public page,reference_and_citation,needs_registry_review,AI origin community approx 3 km2 public-program scope,2026,,html,Verified,SRC-BJ-AIORIGIN-20260324,"Program statistics and 3 km2 scope must not be substituted for competition 104.3 ha key-area polygon",,Useful for universities/research/talent/industry proxies
SRC-BJ-AIORIGIN-20260324,innovation_ecosystem,北京市海淀区人民政府,北京AI原点社区 全球AI人才创新创业的第一站,https://www.bjhd.gov.cn/ztzx/2025/aifuture/jq/aiyd/202603/t20260326_4809740.shtml,2026-08-08,2026-03-24,official public page,reference_and_citation,needs_registry_review,AI origin community and surrounding innovation ecosystem,2026,,html,Verified,SRC-BJ-AIORIGIN-20260105,"Narrative/operational source; not statutory control",,Corroborates innovation/talent/service role
SRC-BJ-JZPARK-20240920,public_space,北京市人民政府/海淀区人民政府,京张铁路遗址公园二期计划年底前开工,https://www.beijing.gov.cn/ywdt/gqrd/202409/t20240920_3902264.html,2026-08-08,2024-09-20,official public page,reference_and_citation,needs_registry_review,Jing-Zhang heritage park 9 km corridor,2024 plan/status,,html,Verified,SRC-BJ-JZPARK-20211216,"Future completion schedule reported in 2024 must not be treated as verified 2026 completion",,Supports 9 km / about 70 ha / communities-universities-research context
SRC-BJ-JZPARK-20211216,public_space,北京市规划和自然资源委员会,京张铁路遗址公园 一场各方响应的众创之旅,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/zxzt/wsghs/2021dej/d5j/202112/t20211216_2562970.html,2026-08-08,2021-12-16,official public page,reference_and_citation,needs_registry_review,Jing-Zhang heritage park and 14 km2 influence area,2019-2021 planning history,,html,Verified,SRC-BJ-JZPARK-20240920,"Historical planning source; enterprise-density figure is context not a 2026 census",,Supports east-west barrier/connection and public co-creation history
SRC-BJ-XIAOYUEHE-2026,blue_green,北京市海淀区人民政府,海淀区2026年经济社会发展计划相关滨水绿廊任务,https://zyk.bjhd.gov.cn/zwdt/szgb/bqgb/202605/t20260515_4815219.shtml,2026-08-08,2026-05-15,official public page,reference_and_citation,needs_registry_review,小月河等海淀滨水空间,2026,,html,Verified,SRC-BJ-KW-THREE-WINGS-20260403,"District plan does not define the exact Xiaoyuehe scenario-empowerment wing polygon",,Supports blue-green/public-space implementation context
SRC-SG-PUNGGOL-JTC,global_case,JTC Singapore,Punggol Digital District,https://www.jtc.gov.sg/punggoldigitaldistrict/,2026-08-08,2026,Government of Singapore website,reference_and_citation,background_only,Punggol Singapore,current,,html,Verified,SRC-SG-PUNGGOL-TESTBED,"Case facts are not Beijing controls/performance promises",,Industry-academia-community + district digital platform + living lab
SRC-SG-PUNGGOL-TESTBED,global_case,JTC/SIT,PDD precinct-scale test-bed / SIT opening,https://www.jtc.gov.sg/about-jtc/news-and-stories/press-releases/pdd-sit-officially-opens-punggol-campus,2026-08-08,2025-09-16,Government of Singapore website,reference_and_citation,background_only,Punggol Singapore,2025-2026,,html,Verified,SRC-SG-PUNGGOL-JTC,"Institutional and data governance differ from Beijing",,Strong evidence for co-development pilot scale pathway
SRC-SEOUL-DIGITAL-INCLUSION,global_case,Seoul Metropolitan Government,Digital Inclusion,https://english.seoul.go.kr/policy/smart-city/digital-inclusion/,2026-08-08,,official public page,reference_and_citation,background_only,Seoul,current page with historic program metrics,,html,Verified,,"Program years/metrics cannot be transplanted; use inclusion mechanisms only",,Neighborhood support / seniors / help desks / digital tutors
SRC-JP-WOVEN-CITY,global_case,Toyota Woven City,Toyota Woven City Test Course for Mobility,https://www.woven-city.global/,2026-08-08,2026,corporate primary source,reference_and_citation,background_only,Susono Japan,current,,html,Verified,,"Corporate-controlled environment is not equivalent to public-city consent or authority",,Use test/refine/feedback mechanism with stronger public safeguards
SRC-BCN-DECIDIM,global_case,Barcelona City Council,Decidim Barcelona,https://ajuntament.barcelona.cat/digital/en/digital-empowerment/democracy-and-digital-rights/decidim-barcelona,2026-08-08,,municipal public page,reference_and_citation,background_only,Barcelona,current,,html,Verified,,"Participation traceability is not an AI decision mandate",,Open-source proposal/debate/tracking governance precedent
SRC-HEL-KALASATAMA,global_case,City of Helsinki,Kalasatama,https://www.hel.fi/en/urban-environment-and-traffic/urban-planning-and-construction/urban-development/kalasatama,2026-08-08,,municipal public page,reference_and_citation,background_only,Helsinki Kalasatama,current development,,html,Verified,,"Urban-form metrics and planning controls cannot be copied",,Dense mixed-use/transit/waterfront/everyday services precedent
SRC-SG-ENABLING-VILLAGE,global_case,SG Enable,Community Integration / Enabling Village,https://www.sgenable.sg/your-first-stop/community-integration,2026-08-08,,primary institutional public page,reference_and_citation,background_only,Redhill Singapore,current,,html,Verified,SRC-SG-AT,"Not a municipal planning model; transfer accessibility and inclusive-service principles",,Inclusive community space + universal design + assistive technology
SRC-SG-AT,global_case,SG Enable,Accessibility & Assistive Technology,https://www.sgenable.sg/your-first-stop/accessibility-assistive-technology,2026-08-08,,primary institutional public page,reference_and_citation,background_only,Singapore,current,,html,Verified,SRC-SG-ENABLING-VILLAGE,"Program services not Beijing commitments",,Accessibility/AT evidence
