source_id,source_class,title,publisher_or_owner,url_or_repo_path,date_or_ref,status,used_for,not_used_for,license_or_reuse,validation_note
REPO-SKILL,repository_rule,Urban Design AI Submission Skill,open-city-ai/haidian,skills/urban-design-ai-submission/SKILL.md,latest-main,authoritative_participation_rule,"package contract; continuous participation; validation; source boundaries","statutory planning fact; site-specific approval",repository_project_content,"Re-read on continuation pass; latest main must be checked again at integration."
REPO-DESIGN-BRIEF,repository_rule,design_brief.json,open-city-ai/haidian,brief/site-package/design_brief.json,0.1.0,current_with_wording_conflict,"official text scope; task structure; project policy","precise polygon; invented controls",repository_project_content,"Contains provisional_boundary_blocks_formal_professional_scoring=true; compare with Skill/rubric/data-workflow wording."
REPO-TASKBOOK,cleared_user_document,Agent Open Call Taskbook,User-provided cleared document,brief/site-package/agent_taskbook.json,2026-05-18,approved_for_repo,"agent.1-agent.6; public-interest; operations; collaboration","official redline; statutory control; implementation commitment",cleared_for_repo,"Role 6 directly supports annual activity/developer/community/long-term operations scope."
REPO-ALLOWED-DESIGN-SPACE,repository_rule,allowed_design_space.json,open-city-ai/haidian,brief/site-package/allowed_design_space.json,0.1.0,current,"locked/editable layers; provisional geometry policy; forbidden claims","official boundary substitution",repository_project_content,"Keeps planning/engineering certainty bounded."
REPO-SITE-SOURCES,repository_source_register,site-package sources.json,open-city-ai/haidian,brief/site-package/sources.json,accessed-2026-08-07,current,"source use/not-use boundaries","upgrading provisional data to official",repository_project_content,"Provisional boundaries explicitly not usable for official redline/precise area/formal professional scoring."
REPO-SOURCE-REGISTRY,repository_source_register,Public source registry,open-city-ai/haidian,data/source_registry.json,current-main,current,"formal/background/provisional/no source classification","statutory fact beyond allowed uses",repository_project_content,"Mandatory context per Skill/data-workflow."
REPO-DATA-WORKFLOW,repository_rule,Public data workflow,open-city-ai/haidian,docs/data-workflow.md,current-main,current,"source provenance; provisional-only rules; data-gap handling","precise controls without official attachments",repository_project_content,"Explicitly says organizer geometry gap does not block content scoring."
REPO-REVIEW-RUBRIC,repository_rule,Review rubric,open-city-ai/haidian,docs/review-rubric.md,current-main,current,"7 review dimensions; public interest; operations; risk; formal-review eligibility","government approval or implementation status",repository_project_content,"Explicitly says organizer-missing official geometry does not block/penalize content scoring."
REPO-STANDARDS-INDEX,repository_standard_index,Standards references index,open-city-ai/haidian,brief/site-package/standards/references/index.json,2026-06-05,current,"which standards have local reference snapshots and fetch status","claiming missing standard body is verified",repository_project_content,"MOHURD architecture design-depth reference remains missing_source_url."
REPO-SCHEMAS,repository_schema,Submission/review schemas,open-city-ai/haidian,brief/site-package/schemas/,current-main,current,"machine-readable package/review contract","substitute for semantic evidence quality",repository_project_content,"Metrics allows custom keys; advisory review separates deterministic/spatial/visual/professional-evidence gates."
